,gebiet,status,zeitstempel
0,/pizmundaun/,failed,2018-11-09_14-00
1,/aletsch-arena/,failed,2018-11-09_14-00
2,/belalp/,failed,2018-11-09_14-00
3,/crans-montana/,failed,2018-11-09_14-00
4,/portes-du-soleil/,failed,2018-11-09_14-00
5,/valdilliez-lescrosets-champoussin/,failed,2018-11-09_14-00
6,/verbier/,failed,2018-11-09_14-00
7,/vercorin/,failed,2018-11-09_14-00
8,/adelboden/,failed,2018-11-09_14-00
9,/gstaad/,failed,2018-11-09_14-00
10,/gstaad-saanen-rougemont/,failed,2018-11-09_14-00
11,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-09_14-00
12,/jungfrau-grindelwald-wengen/,failed,2018-11-09_14-00
13,/lenk/,failed,2018-11-09_14-00
14,/meiringen-hasliberg/,failed,2018-11-09_14-00
15,/pizol/,failed,2018-11-09_14-00
16,/fribourg-region/,failed,2018-11-09_14-00
17,/les-paccots-chatel-saint-denis/,failed,2018-11-09_14-00
18,/espace-dole-les-tuffes/,failed,2018-11-09_14-00
19,/les-diablerets/,failed,2018-11-09_14-00
20,/diablerets/,failed,2018-11-09_14-00
21,/vallee-de-joux/,failed,2018-11-09_14-00
22,/villars/,failed,2018-11-09_14-00
